-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
韡        xue       hnkh      XJEB      97E1      ED7C      19        韋        5212511521221122112
韢        sui       nhgn      XJFW      97E2      ED7D      21        韋        521251152125112144544
韣        du        hnkj      XJRI      97E3      ED7E      22        韋        5212511522522135251214
韤        wa        nhgt      XJHS      97E4      ED80      23        韋        52125115212225221134534
韥        du        hnkm      XJLL      97E5      ED81      24        韋        521251152121252212511134
韦        wei       fnhk      BIY       97E6      CEA4      4         韦        1152
韧        ren       fnhy      BIYS      97E7      C8CD      7         韦        1152534
韨        fu        fnhc      BIXS      97E8      ED82      9         韦        115213544
韩        han       fjfh      EDBY      97E9      BAAB      12        韦        122511121152
韪        wei       jghh      KABY      97EA      E8B8      13        韦        2511121341152
韫        yun       fnhl      BIKL      97EB      E8B9      13        韦        1152251125221
韬        tao       fnhv      BIPN      97EC      E8BA      14        韦        11523443321511
韭        jiu       djdg      KCA       97ED      BEC2      9         韭        211121111
韮        jiu       adjg      EKA       97EE      ED83      12        韭        122211121111
韯        xian      fadg      EHKA      97EF      ED84      15        韭        121211121111534
韰        xie       hqcg      IDKA      97F0      ED85      16        韭        2135454211121111
韱        xian      wwag      ODKA      97F1      ED86      17        韭        34341211121111534
韲        ji        ydjj      SYKA      97F2      ED87      19        韭        4143253354211121111
音        yin       ujf       SUK       97F3      D2F4      9         音        414312511
韴        za        ujgh      SUAL      97F4      ED88      13        音        4143125111252
韵        yun       ujqu      SURT      97F5      D4CF      13        音        4143125113541
韶        shao      ujvk      SUYJ      97F6      C9D8      14        音        41431251153251
韷        le        ujbm      SUZZ      97F7      ED89      14        音        41431251152252
韸        peng      ujth      SURC      97F8      ED8A      16        音        4143125113541112
韹        ying      ujrg      SUNC      97F9      ED8B      18        音        414312511325111121
韺        ying      ujad      SULG      97FA      ED8C      17        音        41431251112225134
韻        yun       ujkm      SUJL      97FB      ED8D      19        音        4143125112512511134
韼        peng      ujtp      SURC      97FC      ED8E      19        音        4143125113541112454
韽        an        wgnj      ODSK      97FD      ED8F      20        音        34451253511414312511
韾        yin       fnmj      BXSK      97FE      ED90      20        音        12152133554414312511
響        xiang     xtyj      ZZSK      97FF      ED91      20        音        55345115452414312511
頀        hu        ujac      SUNX      9800      ED92      22        音        4143125111223241112154
頁        ye        dmu       GO        9801      ED93      9         頁        132511134
頂        ding      sdmy      AIGO      9802      ED94      11        頁        12132511134
頃        qing      xdmy      RRGO      9803      ED95      11        頁        15132511134
頄        kui       vdmy      QYGO      9804      ED96      11        頁        35132511134
項        xiang     admy      BIGO      9805      ED97      12        頁        121132511134
順        shun      kdmy      NDGO      9806      ED98      12        頁        322132511134
頇        han       fdmy      AEGO      9807      ED99      12        頁        112132511134
須        xu        edmy      PDGO      9808      ED9A      12        頁        333132511134
頉        yi        hdmy      IIGO      9809      ED9B      13        頁        2121132511134
頊        xu        gdmy      CGO       980A      ED9C      13        頁        1121132511134
頋        gu        dbdm      GGYG      980B      ED9D      13        頁        1355132511134
頌        song      wcdm      OZGO      980C      ED9E      13        頁        3454132511134
頍        kui       fcdm      EDXG      980D      ED9F      13        頁        1254132511134
頎        qi        rdmy      PDGO      980E      EDA0      13        頁        3312132511134
頏        hang      ymdm      SQGO      980F      EE40      13        頁        4135132511134
預        yu        cbdm      XSIG      9810      EE41      13        頁        5452132511134
頑        wan       fqdm      BDRG      9811      EE42      13        頁        1135132511134
頒        fen       wvdm      OYGO      9812      EE43      13        頁        3453132511134
頓        dun       gbnm      HDZG      9813      EE44      13        頁        1525132511134
頔        di        mdmy      KIAG      9814      EE45      14        頁        25121132511134
頕        dian      hkdm      IDJG      9815      EE46      14        頁        21251132511134
